Term	Mean	OrdinalClass	MajorityLabel	MajorityLabelRatio	NumberAnnotations	SetOfLabels
unbearably	3.00	3	3	1	8	3,3,3,3,3,3,3,3
immolation	3.00	3	3	1	4	3,3,3,3
rapist	3.00	3	3	1	9	3,3,3,3,3,3,3,3,3
fistfight	3.00	3	3	1	6	3,3,3,3,3,3
apocalypse	3.00	3	3	1	6	3,3,3,3,3,3
terroristic	3.00	3	3	1	6	3,3,3,3,3,3
panicked	3.00	3	3	1	10	3,3,3,3,3,3,3,3,3,3
patrolling	3.00	3	3	1	5	3,3,3,3,3
imposer	3.00	3	3	1	4	3,3,3,3
pedophile	3.00	3	3	1	9	3,3,3,3,3,3,3,3,3
firebomb	3.00	3	3	1	4	3,3,3,3
mutilate	3.00	3	3	1	6	3,3,3,3,3,3
deflagration	3.00	3	3	1	5	3,3,3,3,3
irksome	3.00	3	3	1	5	3,3,3,3,3
asphyxia	3.00	3	3	1	5	3,3,3,3,3
nostrum	3.00	3	3	1	5	3,3,3,3,3
sux	3.00	3	3	1	5	3,3,3,3,3
trackside	3.00	3	3	1	4	3,3,3,3
disaster	3.00	3	3	1	6	3,3,3,3,3,3
accursedness	3.00	3	3	1	5	3,3,3,3,3
gutturally	3.00	3	3	1	5	3,3,3,3,3
inapproachable	3.00	3	3	1	4	3,3,3,3
manacle	3.00	3	3	1	5	3,3,3,3,3
pedophilia	3.00	3	3	1	10	3,3,3,3,3,3,3,3,3,3
inconsolably	3.00	3	3	1	6	3,3,3,3,3,3
shrilly	3.00	3	3	1	5	3,3,3,3,3
slapping	3.00	3	3	1	4	3,3,3,3
sycophantism	3.00	3	3	1	5	3,3,3,3,3
detonator	3.00	3	3	1	5	3,3,3,3,3
neurophysiology	3.00	3	3	1	4	3,3,3,3
ragemode	3.00	3	3	1	6	3,3,3,3,3,3
terrorize	3.00	3	3	1	8	3,3,3,3,3,3,3,3
suffocative	3.00	3	3	1	6	3,3,3,3,3,3
deerstalking	3.00	3	3	1	4	3,3,3,3
brontosaur	3.00	3	3	1	5	3,3,3,3,3
bereavement	3.00	3	3	1	8	3,3,3,3,3,3,3,3
disorientation	3.00	3	3	1	5	3,3,3,3,3
electrocuted	3.00	3	3	1	5	3,3,3,3,3
deathtrap	3.00	3	3	1	4	3,3,3,3
terrifies	3.00	3	3	1	4	3,3,3,3
sulphurous	3.00	3	3	1	4	3,3,3,3
matricide	3.00	3	3	1	5	3,3,3,3,3
exploder	3.00	3	3	1	5	3,3,3,3,3
raider	3.00	3	3	1	5	3,3,3,3,3
mummified	3.00	3	3	1	5	3,3,3,3,3
traumatized	3.00	3	3	1	6	3,3,3,3,3,3
hardheartedly	3.00	3	3	1	6	3,3,3,3,3,3
germy	3.00	3	3	1	5	3,3,3,3,3
agoraphobia	3.00	3	3	1	5	3,3,3,3,3
metastasize	3.00	3	3	1	4	3,3,3,3
hipped	3.00	3	3	1	5	3,3,3,3,3
angiogram	3.00	3	3	1	4	3,3,3,3
pestilent	3.00	3	3	1	6	3,3,3,3,3,3
strangulate	3.00	3	3	1	5	3,3,3,3,3
terrified	3.00	3	3	1	5	3,3,3,3,3
incoercible	3.00	3	3	1	4	3,3,3,3
claustrophobia	3.00	3	3	1	9	3,3,3,3,3,3,3,3,3
warcrimes	3.00	3	3	1	6	3,3,3,3,3,3
expelled	3.00	3	3	1	5	3,3,3,3,3
homophobia	3.00	3	3	1	5	3,3,3,3,3
hellacious	3.00	3	3	1	5	3,3,3,3,3
homicide	3.00	3	3	1	8	3,3,3,3,3,3,3,3
suffocation	3.00	3	3	1	8	3,3,3,3,3,3,3,3
woah	3.00	3	3	1	5	3,3,3,3,3
terrify	3.00	3	3	1	8	3,3,3,3,3,3,3,3
capsize	3.00	3	3	1	5	3,3,3,3,3
entrapment	3.00	3	3	1	5	3,3,3,3,3
vicariously	3.00	3	3	1	4	3,3,3,3
strangle	3.00	3	3	1	14	3,3,3,3,3,3,3,3,3,3,3,3,3,3
angularity	3.00	3	3	1	5	3,3,3,3,3
strangler	3.00	3	3	1	5	3,3,3,3,3
trafficable	3.00	3	3	1	5	3,3,3,3,3
tomblike	3.00	3	3	1	5	3,3,3,3,3
lightlessness	3.00	3	3	1	8	3,3,3,3,3,3,3,3
unsponsored	3.00	3	3	1	5	3,3,3,3,3
methamphetamine	3.00	3	3	1	7	3,3,3,3,3,3,3
ricer	3.00	3	3	1	4	3,3,3,3
patricide	3.00	3	3	1	6	3,3,3,3,3,3
suffocate	3.00	3	3	1	5	3,3,3,3,3
claptrap	3.00	3	3	1	4	3,3,3,3
endomorphic	3.00	3	3	1	5	3,3,3,3,3
flintlock	3.00	3	3	1	4	3,3,3,3
decapitate	3.00	3	3	1	5	3,3,3,3,3
wolf	3.00	3	3	1	4	3,3,3,3
impalement	3.00	3	3	1	6	3,3,3,3,3,3
prozac	3.00	3	3	1	4	3,3,3,3
monopolize	3.00	3	3	1	5	3,3,3,3,3
alienist	3.00	3	3	1	4	3,3,3,3
craziness	3.00	3	3	1	5	3,3,3,3,3
savageness	3.00	3	3	1	5	3,3,3,3,3
quadriplegia	3.00	3	3	1	4	3,3,3,3
slaveholding	3.00	3	3	1	8	3,3,3,3,3,3,3,3
unhelpfulness	3.00	3	3	1	5	3,3,3,3,3
scuffle	3.00	3	3	1	5	3,3,3,3,3
asphyxiation	3.00	3	3	1	12	3,3,3,3,3,3,3,3,3,3,3,3
holocaust	3.00	3	3	1	18	3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
incondensable	3.00	3	3	1	5	3,3,3,3,3
excuseless	3.00	3	3	1	4	3,3,3,3
dumbbitch	3.00	3	3	1	5	3,3,3,3,3
anesthetist	3.00	3	3	1	4	3,3,3,3
firehose	3.00	3	3	1	5	3,3,3,3,3
disembowel	3.00	3	3	1	6	3,3,3,3,3,3
aneurysm	3.00	3	3	1	6	3,3,3,3,3,3
depersonalize	3.00	3	3	1	4	3,3,3,3
nitroglycerine	3.00	3	3	1	5	3,3,3,3,3
disincorporation	3.00	3	3	1	4	3,3,3,3
armageddon	3.00	3	3	1	7	3,3,3,3,3,3,3
clacker	3.00	3	3	1	4	3,3,3,3
collapsibility	3.00	3	3	1	5	3,3,3,3,3
hornlike	3.00	3	3	1	5	3,3,3,3,3
titties	3.00	3	3	1	4	3,3,3,3
decapitation	3.00	3	3	1	15	3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
stickup	3.00	3	3	1	5	3,3,3,3,3
infuriated	3.00	3	3	1	8	3,3,3,3,3,3,3,3
apoplectically	3.00	3	3	1	5	3,3,3,3,3
poisoner	3.00	3	3	1	5	3,3,3,3,3
episiotomy	3.00	3	3	1	6	3,3,3,3,3,3
catatonia	3.00	3	3	1	6	3,3,3,3,3,3
fishhook	3.00	3	3	1	4	3,3,3,3
horribleness	3.00	3	3	1	5	3,3,3,3,3
scrum	3.00	3	3	1	4	3,3,3,3
examinee	3.00	3	3	1	5	3,3,3,3,3
killer	3.00	3	3	1	5	3,3,3,3,3
chipmaker	3.00	3	3	1	5	3,3,3,3,3
suicidebombing	3.00	3	3	1	9	3,3,3,3,3,3,3,3,3
distrustfully	3.00	3	3	1	5	3,3,3,3,3
antinationalist	3.00	3	3	1	4	3,3,3,3
anxietyattack	3.00	3	3	1	6	3,3,3,3,3,3
genocide	3.00	3	3	1	9	3,3,3,3,3,3,3,3,3
panicking	3.00	3	3	1	6	3,3,3,3,3,3
sonice	3.00	3	3	1	5	3,3,3,3,3
doctrinarian	3.00	3	3	1	4	3,3,3,3
sodomize	3.00	3	3	1	7	3,3,3,3,3,3,3
mortified	3.00	3	3	1	5	3,3,3,3,3
glutinous	3.00	3	3	1	5	3,3,3,3,3
salesgirl	3.00	3	3	1	5	3,3,3,3,3
firestorm	3.00	3	3	1	5	3,3,3,3,3
unreleased	3.00	3	3	1	4	3,3,3,3
smolder	3.00	3	3	1	5	3,3,3,3,3
insensitively	3.00	3	3	1	4	3,3,3,3
nigga	3.00	3	3	1	5	3,3,3,3,3
nazism	3.00	3	3	1	7	3,3,3,3,3,3,3
hoggishness	3.00	3	3	1	5	3,3,3,3,3
lesbianism	3.00	3	3	1	5	3,3,3,3,3
sexiest	3.00	3	3	1	5	3,3,3,3,3
harrassment	3.00	3	3	1	6	3,3,3,3,3,3
torturously	3.00	3	3	1	7	3,3,3,3,3,3,3
dementedly	3.00	3	3	1	5	3,3,3,3,3
annihilative	3.00	3	3	1	4	3,3,3,3
stabbed	3.00	3	3	1	5	3,3,3,3,3
hypervelocity	3.00	3	3	1	5	3,3,3,3,3
through	3.00	3	3	1	4	3,3,3,3
reclusiveness	3.00	3	3	1	5	3,3,3,3,3
exhibitionism	3.00	3	3	1	5	3,3,3,3,3
igniter	3.00	3	3	1	4	3,3,3,3
unsalvageable	3.00	3	3	1	5	3,3,3,3,3
loveless	3.00	3	3	1	6	3,3,3,3,3,3
tampered	3.00	3	3	1	4	3,3,3,3
spermatozoid	3.00	3	3	1	4	3,3,3,3
barbarically	3.00	3	3	1	5	3,3,3,3,3
extort	3.00	3	3	1	5	3,3,3,3,3
sandworm	3.00	3	3	1	5	3,3,3,3,3
excruciate	3.00	3	3	1	9	3,3,3,3,3,3,3,3,3
nazi	3.00	3	3	1	4	3,3,3,3
strangulation	3.00	3	3	1	8	3,3,3,3,3,3,3,3
hydroplane	3.00	3	3	1	4	3,3,3,3
kidnapping	3.00	3	3	1	5	3,3,3,3,3
horrible	3.00	3	3	1	9	3,3,3,3,3,3,3,3,3
horrifically	3.00	3	3	1	6	3,3,3,3,3,3
pecker	3.00	3	3	1	4	3,3,3,3
homicidal	3.00	3	3	1	8	3,3,3,3,3,3,3,3
vivisect	3.00	3	3	1	6	3,3,3,3,3,3
coquettishness	3.00	3	3	1	5	3,3,3,3,3
aghhh	3.00	3	3	1	5	3,3,3,3,3
bluffer	3.00	3	3	1	4	3,3,3,3
paralyzed	3.00	3	3	1	5	3,3,3,3,3
overcrowded	3.00	3	3	1	5	3,3,3,3,3
molestation	3.00	3	3	1	8	3,3,3,3,3,3,3,3
neoliberal	3.00	3	3	1	4	3,3,3,3
hosed	3.00	3	3	1	5	3,3,3,3,3
loganberry	3.00	3	3	1	4	3,3,3,3
helter	3.00	3	3	1	4	3,3,3,3
dismemberer	3.00	3	3	1	4	3,3,3,3
bestiality	3.00	3	3	1	12	3,3,3,3,3,3,3,3,3,3,3,3
undesirably	3.00	3	3	1	4	3,3,3,3
rape	3.00	3	3	1	7	3,3,3,3,3,3,3
molest	2.94	3	3	0.941176470588235	17	3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3
haemorrhage	2.94	3	3	0.9375	16	3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
cantbreathe	2.93	3	3	0.933333333333333	15	3,3,2,3,3,3,3,3,3,3,3,3,3,3,3
horrors	2.92	3	3	0.916666666666667	12	3,3,3,3,3,3,3,3,3,3,2,3
infanticide	2.92	3	3	0.948717948717949	78	3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3
hellhole	2.92	3	3	0.923076923076923	13	3,2,3,3,3,3,3,3,3,3,3,3,3
cannibalistic	2.92	3	3	0.923076923076923	13	3,3,3,3,3,3,2,3,3,3,3,3,3
gestapo	2.90	3	3	0.9	10	3,3,3,3,3,3,3,3,3,2
barbarity	2.90	3	3	0.9	10	3,3,2,3,3,3,3,3,3,3
terrorization	2.90	3	3	0.9	10	3,3,2,3,3,3,3,3,3,3
devastate	2.89	3	3	0.888888888888889	9	2,3,3,3,3,3,3,3,3
sodomy	2.89	3	3	0.888888888888889	9	2,3,3,3,3,3,3,3,3
kill	2.89	3	3	0.888888888888889	9	3,3,2,3,3,3,3,3,3
horrified	2.89	3	3	0.888888888888889	9	3,3,2,3,3,3,3,3,3
atrocity	2.89	3	3	0.888888888888889	9	3,3,2,3,3,3,3,3,3
disembowelment	2.89	3	3	0.888888888888889	9	3,3,3,3,2,3,3,3,3
desperation	2.88	3	3	0.875	8	2,3,3,3,3,3,3,3
bloodthirsty	2.88	3	3	0.875	8	3,2,3,3,3,3,3,3
migraine	2.88	3	3	0.875	8	3,3,3,2,3,3,3,3
enslavement	2.88	3	3	0.875	8	2,3,3,3,3,3,3,3
excruciation	2.88	3	3	0.875	8	3,3,2,3,3,3,3,3
antisemitic	2.88	3	3	0.875	8	2,3,3,3,3,3,3,3
palpitations	2.88	3	3	0.875	8	2,3,3,3,3,3,3,3
retards	2.88	3	3	0.875	8	2,3,3,3,3,3,3,3
gunshot	2.88	3	3	0.875	8	2,3,3,3,3,3,3,3
cyanide	2.88	3	3	0.875	8	3,3,3,2,3,3,3,3
racketeering	2.88	3	3	0.875	8	3,2,3,3,3,3,3,3
leprosy	2.88	3	3	0.875	8	3,3,3,2,3,3,3,3
dismemberment	2.87	3	3	0.903225806451613	62	3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,2,3,3,3,3,1,3,3,3,3,3,3,3,2,3
agony	2.87	3	3	0.884615384615385	52	3,3,3,3,3,3,3,3,3,3,3,2,3,1,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2
hopeless	2.87	3	3	0.866666666666667	15	3,3,2,3,3,3,3,3,3,3,3,3,3,3,2
handgrenade	2.86	3	3	0.857142857142857	7	3,2,3,3,3,3,3
arachnophobia	2.86	3	3	0.857142857142857	7	3,2,3,3,3,3,3
extermination	2.86	3	3	0.857142857142857	7	3,3,3,3,3,3,2
eugenicist	2.86	3	3	0.857142857142857	7	3,2,3,3,3,3,3
hyperventilating	2.86	3	3	0.857142857142857	7	3,3,3,2,3,3,3
distress	2.86	3	3	0.857142857142857	7	2,3,3,3,3,3,3
furiousness	2.86	3	3	0.857142857142857	7	3,2,3,3,3,3,3
doomed	2.86	3	3	0.857142857142857	7	3,2,3,3,3,3,3
ultraviolent	2.86	3	3	0.857142857142857	7	3,3,3,3,3,3,2
immolate	2.86	3	3	0.857142857142857	7	3,3,3,3,3,3,2
detestability	2.86	3	3	0.857142857142857	7	3,3,2,3,3,3,3
explosiveness	2.86	3	3	0.857142857142857	7	3,2,3,3,3,3,3
impale	2.86	3	3	0.857142857142857	7	2,3,3,3,3,3,3
kidnapped	2.86	3	3	0.857142857142857	7	3,3,3,3,3,3,2
perdition	2.86	3	3	0.857142857142857	7	3,3,3,2,3,3,3
brutality	2.86	3	3	0.857142857142857	7	3,3,2,3,3,3,3
swastika	2.85	3	3	0.906666666666667	75	3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,1,3,3,2,3,1,3,3,3,3,3,3,3
reinvasion	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
ravishment	2.83	3	3	0.833333333333333	6	3,3,2,3,3,3
sensationalism	2.83	3	3	0.833333333333333	6	3,2,3,3,3,3
molester	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
clickbait	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
soscary	2.83	3	3	0.833333333333333	6	3,2,3,3,3,3
besiegement	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
kidnapper	2.83	3	3	0.833333333333333	6	3,3,3,2,3,3
transphobic	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
tyrannically	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
fibrillate	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
soscared	2.83	3	3	0.833333333333333	6	3,2,3,3,3,3
pedophilic	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
unsolvable	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
whizzing	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
fiendlike	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
fuhrer	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
misgovernment	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
overwrought	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
capitulator	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
shitless	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
undead	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
apoplexy	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
cataclysmal	2.83	3	3	0.833333333333333	6	3,2,3,3,3,3
scorner	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
omfg	2.83	3	3	0.833333333333333	6	3,3,3,3,2,3
cyclonic	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
niggardly	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
strangled	2.83	3	3	0.833333333333333	6	3,3,3,3,2,3
despised	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
kidnap	2.83	3	3	0.851851851851852	81	3,3,3,2,3,3,3,3,2,3,1,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,3,3,2
maliciousness	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
intubate	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
calamitously	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
destructivity	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
molesting	2.83	3	3	0.833333333333333	6	3,3,2,3,3,3
coercer	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
cirrhosis	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
botchy	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
maltreatment	2.83	3	3	0.833333333333333	6	3,3,2,3,3,3
infantility	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
reprehensibility	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
egomaniacal	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
lynching	2.83	3	3	0.833333333333333	6	3,3,3,2,3,3
impregnator	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
gunship	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
tantrum	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
paralyses	2.83	3	3	0.833333333333333	6	3,2,3,3,3,3
insidiousness	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
madhouse	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
desolately	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
abominableness	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
lewdly	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
sociopathic	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
ohdear	2.83	3	3	0.833333333333333	6	2,3,3,3,3,3
malevolently	2.82	3	3	0.818181818181818	11	3,3,3,3,3,3,3,3,2,3,2
deliriousness	2.82	3	3	0.818181818181818	11	3,3,3,3,3,3,3,3,3,2,2
crucifixion	2.82	3	3	0.823529411764706	17	3,3,3,2,3,3,2,3,3,3,2,3,3,3,3,3,3
heartattack	2.82	3	3	0.909090909090909	11	1,3,3,3,3,3,3,3,3,3,3
castration	2.82	3	3	0.823529411764706	17	3,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3
stillborn	2.81	3	3	0.875	16	3,3,1,3,3,2,3,3,3,3,3,3,3,3,3,3
rabies	2.81	3	3	0.8125	16	2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3
horrifying	2.80	3	3	0.849462365591398	93	3,3,3,2,1,3,1,2,1,3,2,3,1,1,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3
antiscientific	2.80	3	3	0.8	5	2,3,3,3,3
thunderstruck	2.80	3	3	0.8	10	2,2,3,3,3,3,3,3,3,3
destitution	2.80	3	3	0.8	5	3,3,2,3,3
tortured	2.80	3	3	0.8	5	2,3,3,3,3
jangly	2.80	3	3	0.8	5	3,2,3,3,3
disconcertedness	2.80	3	3	0.8	5	2,3,3,3,3
hyperventilate	2.80	3	3	0.8	5	2,3,3,3,3
unlivable	2.80	3	3	0.8	5	3,3,3,2,3
sleaze	2.80	3	3	0.8	5	2,3,3,3,3
nefariously	2.80	3	3	0.8	5	2,3,3,3,3
irreclaimable	2.80	3	3	0.8	5	2,3,3,3,3
scream	2.80	3	3	0.8	5	3,3,3,3,2
pisser	2.80	3	3	0.8	5	3,2,3,3,3
assassination	2.80	3	3	0.8	15	2,3,2,3,2,3,3,3,3,3,3,3,3,3,3
landmine	2.80	3	3	0.8	5	3,3,3,2,3
disgorge	2.80	3	3	0.8	5	2,3,3,3,3
nightmarishly	2.80	3	3	0.8	5	3,3,3,2,3
emasculation	2.80	3	3	0.8	5	3,3,2,3,3
scurvy	2.80	3	3	0.8	5	3,3,2,3,3
frightening	2.80	3	3	0.8	5	3,3,2,3,3
tormented	2.80	3	3	0.8	5	3,3,3,2,3
crackup	2.80	3	3	0.8	5	3,2,3,3,3
defeatist	2.80	3	3	0.8	5	2,3,3,3,3
stomp	2.80	3	3	0.8	5	2,3,3,3,3
scared	2.80	3	3	0.8	5	3,2,3,3,3
portentousness	2.80	3	3	0.8	5	2,3,3,3,3
uncontrollability	2.80	3	3	0.8	5	3,3,3,3,2
incriminatory	2.80	3	3	0.8	5	2,3,3,3,3
cataclysmic	2.80	3	3	0.8	5	3,2,3,3,3
psychotropic	2.80	3	3	0.8	5	2,3,3,3,3
disgracefully	2.80	3	3	0.8	5	2,3,3,3,3
ghoulishness	2.80	3	3	0.8	5	3,3,3,2,3
sightlessness	2.80	3	3	0.8	5	2,3,3,3,3
psychosis	2.80	3	3	0.8	15	3,3,2,3,2,3,3,3,3,3,2,3,3,3,3
uncomfortably	2.80	3	3	0.8	5	3,3,3,3,2
jobless	2.80	3	3	0.8	5	2,3,3,3,3
ghastliness	2.80	3	3	0.8	5	3,2,3,3,3
druggie	2.80	3	3	0.8	5	3,3,3,3,2
anaphylaxis	2.80	3	3	0.9	10	3,3,3,3,3,3,3,3,3,1
fractural	2.80	3	3	0.8	5	3,3,3,2,3
slapped	2.80	3	3	0.8	5	2,3,3,3,3
hyperirritable	2.80	3	3	0.8	5	2,3,3,3,3
ensnare	2.80	3	3	0.8	5	2,3,3,3,3
intrusiveness	2.80	3	3	0.8	5	2,3,3,3,3
worthlessness	2.80	3	3	0.8	10	3,3,3,3,2,3,3,3,3,2
excremental	2.80	3	3	0.8	5	3,2,3,3,3
anaphylactic	2.80	3	3	0.8	5	2,3,3,3,3
malefaction	2.80	3	3	0.8	5	2,3,3,3,3
conscienceless	2.80	3	3	0.8	5	3,3,3,3,2
satanically	2.80	3	3	0.8	5	2,3,3,3,3
severe	2.80	3	3	0.8	5	3,3,3,3,2
conflagration	2.80	3	3	0.8	10	2,3,3,3,3,3,3,3,2,3
worstfeeling	2.80	3	3	0.8	5	3,2,3,3,3
contortedly	2.80	3	3	0.8	5	3,3,2,3,3
lascivious	2.80	3	3	0.8	5	2,3,3,3,3
dickhead	2.80	3	3	0.8	5	3,2,3,3,3
atrociousness	2.80	3	3	0.8	5	3,3,3,2,3
catastrophic	2.80	3	3	0.8	5	3,3,2,3,3
convulsive	2.80	3	3	0.8	10	2,2,3,3,3,3,3,3,3,3
knifeman	2.80	3	3	0.8	5	3,2,3,3,3
waspishly	2.80	3	3	0.8	5	2,3,3,3,3
heckler	2.80	3	3	0.8	5	2,3,3,3,3
wrenching	2.80	3	3	0.8	5	3,3,3,3,2
depression	2.80	3	3	0.8	10	3,2,3,3,2,3,3,3,3,3
malignantly	2.80	3	3	0.8	5	3,3,2,3,3
anthrax	2.79	3	3	0.8	85	2,3,3,2,3,2,2,3,3,1,3,2,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,2,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3
horrify	2.79	3	3	0.785714285714286	14	3,3,2,3,3,2,3,3,3,3,2,3,3,3
murderer	2.79	3	3	0.842105263157895	19	2,3,1,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3
paranoia	2.78	3	3	0.888888888888889	9	3,3,1,3,3,3,3,3,3
sadism	2.78	3	3	0.777777777777778	9	3,3,3,3,2,3,2,3,3
impotence	2.78	3	3	0.777777777777778	9	2,2,3,3,3,3,3,3,3
matricidal	2.78	3	3	0.777777777777778	9	3,2,3,2,3,3,3,3,3
violently	2.78	3	3	0.777777777777778	9	3,3,2,2,3,3,3,3,3
scariest	2.78	3	3	0.777777777777778	9	2,3,3,3,3,3,2,3,3
molested	2.78	3	3	0.777777777777778	9	2,3,3,3,2,3,3,3,3
horrific	2.78	3	3	0.777777777777778	9	2,3,3,2,3,3,3,3,3
terrifying	2.78	3	3	0.888888888888889	9	3,1,3,3,3,3,3,3,3
leprous	2.78	3	3	0.777777777777778	9	2,3,3,2,3,3,3,3,3
psychoses	2.78	3	3	0.777777777777778	9	3,2,3,3,3,3,2,3,3
decapitator	2.78	3	3	0.777777777777778	9	3,2,3,3,2,3,3,3,3
gruesomely	2.77	3	3	0.846153846153846	13	1,3,3,2,3,3,3,3,3,3,3,3,3
anguish	2.76	3	3	0.783783783783784	74	3,3,3,3,3,3,3,2,2,3,2,3,2,2,3,2,3,3,3,3,2,3,3,2,2,3,3,3,3,3,2,3,3,3,3,3,3,2,1,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,1,3
annihilate	2.76	3	3	0.764705882352941	17	3,3,3,2,3,2,3,3,3,3,3,3,3,2,2,3,3
acrophobia	2.75	3	3	0.75	8	3,3,3,3,3,2,3,2
tyrannize	2.75	3	3	0.75	12	3,3,2,3,3,3,3,3,3,3,2,2
heinousness	2.75	3	3	0.75	8	3,3,3,2,3,3,3,2
pustule	2.75	3	3	0.75	8	3,3,2,2,3,3,3,3
bloodletting	2.75	3	3	0.75	12	3,3,3,3,3,3,2,2,3,3,2,3
crackhead	2.75	3	3	0.75	4	2,3,3,3
segregationist	2.75	3	3	0.75	4	3,2,3,3
seizure	2.75	3	3	0.75	8	3,3,2,3,3,2,3,3
hydrophobia	2.75	3	3	0.8125	16	2,3,3,3,3,3,3,3,3,2,3,3,3,1,3,3
nihilistic	2.75	3	3	0.75	4	2,3,3,3
forcedly	2.75	3	3	0.75	4	3,3,3,2
murderously	2.75	3	3	0.875	8	3,3,1,3,3,3,3,3
straitjacket	2.75	3	3	0.75	4	2,3,3,3
antitheism	2.75	3	3	0.75	4	2,3,3,3
deviously	2.75	3	3	0.75	4	2,3,3,3
straightjacket	2.75	3	3	0.75	8	3,2,2,3,3,3,3,3
boogeyman	2.75	3	3	0.75	8	2,2,3,3,3,3,3,3
epilepsy	2.75	3	3	0.75	8	3,2,2,3,3,3,3,3
crippling	2.75	3	3	0.75	4	2,3,3,3
